"gene_id","aqp_family_subfamily","subfamilia_phylo","crown","green_fruit","leaf","red_fruit","roots","aux_bud"
"Fxa6Ag04017","FaNIP5","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Ag04289","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Ag04290","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Ag04860","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa6Ag04861","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Fxa6Ag04862","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Fxa6Ag04864","FaNIP2","NIP",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"Fxa6Bg00716","FaNIP1","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Bg01475","FaPIP2","PIP",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"Fxa6Bg01476","FaPIP2","PIP",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"Fxa6Bg01580","FaTIP1","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Bg02677","FaNIP6","NIP",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Fxa6Bg02964","FaTIP2","TIP",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Fxa6Bg03993","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Bg04002","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Bg04544","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Bg04546","FaNIP2","NIP",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Fxa6Cg00057","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Cg01396","FaPIP2","PIP",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"Fxa6Cg01397","FaPIP2","PIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Cg01508","FaTIP1","TIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Cg02462","FaNIP6","NIP",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Fxa6Cg03541","FaSIP1","SIP",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"Fxa6Cg03543","FaSIP1","SIP",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
